blkgrp,area_median_income,ht_rent
'110010001001',89826,55.4448975
'110010001002',89826,57.84703375
'110010001003',89826,57.77683375
'110010001004',89826,61.21335375
'110010002021',89826,62.0873875
'110010002022',89826,67.2753175
'110010002023',89826,64.56821
'110010002024',89826,64.99603625
'110010003001',89826,67.72462
'110010003002',89826,50.129605
'110010003003',89826,71.26364
'110010003004',89826,68.13180375
'110010004001',89826,49.766315
'110010004002',89826,53.7638975
'110010005011',89826,56.91343625
'110010005012',89826,51.4503375
'110010005021',89826,52.1838725
'110010005022',89826,53.86839875
'110010006001',89826,54.8422075
'110010006002',89826,51.462525
'110010006003',89826,56.5276375
'110010006004',89826,59.49567875
'110010007011',89826,50.9093125
'110010007012',89826,48.23722375
'110010007013',89826,64.32362375
'110010007014',89826,55.72862
'110010007021',89826,55.45778875
'110010007022',89826,48.54918375
'110010007023',89826,48.25187125
'110010008011',89826,64.08011375
'110010008012',89826,82.72412625
'110010008013',89826,71.91066
'110010008014',89826,54.4461875
'110010008021',89826,55.89903625
'110010008022',89826,79.92513625
'110010009011',89826,62.794035
'110010009012',89826,57.8196275
'110010009013',89826,66.43611375
'110010009021',89826,82.79088375
'110010009022',89826,55.804565
'110010010011',89826,64.9725275
'110010010012',89826,52.596755
'110010010013',89826,79.46427625
'110010010014',89826,63.6785125
'110010010015',89826,78.99007375
'110010010016',89826,67.48658875
'110010010021',89826,51.1727725
'110010010022',89826,56.8829825
'110010010023',89826,77.8579525
'110010011001',89826,55.799525
'110010011002',89826,67.35083625
'110010011003',89826,54.39807
'110010011004',89826,73.28606125
'110010012001',89826,56.0367725
'110010012002',89826,53.39724
'110010012003',89826,62.08236875
'110010012004',89826,53.9708575
'110010013011',89826,67.214935
'110010013012',89826,80.24481875
'110010013013',89826,60.53112875
'110010013021',89826,54.8823425
'110010013022',89826,53.3038725
'110010013023',89826,58.97656875
'110010014011',89826,55.3693175
'110010014012',89826,64.4597175
'110010014021',89826,82.30484625
'110010014022',89826,61.2439625
'110010014023',89826,49.32302875
'110010015001',89826,83.878655
'110010015002',89826,79.4315975
'110010015003',89826,77.87816375
'110010015004',89826,82.7055575
